Number,Character
482,"TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 1, U_BASE 2, U_SPLY 1, SUPPLY 2, U_SPLY 1, U_BASE 1, U_BASE 2, SUPPLY 2, U_SPLY 1, U_SPLY 1, "
620,"TEMPLE 1, SUPPLY 1, U_BASE 1, U_BASE 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, "
396,"SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, U_BASE 2, U_BASE 2, TEMPLE 2, SUPPLY 2, SUPPLY 2, U_SPLY 1, U_SPLY 2, SUPPLY 2, SUPPLY 1, "
554,"SUPPLY 1, TEMPLE 1, U_SPLY 1, U_BASE 1, SUPPLY 1, U_BASE 2, U_SPLY 1, SUPPLY 1, U_SPLY 1, U_BASE 2, "
465,"SUPPLY 1, U_BASE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, TEMPLE 2, SUPPLY 1, SUPPLY 2, U_SPLY 2, SUPPLY 1, U_SPLY 1, U_BASE 2, U_SPLY 2, SUPPLY 2, SUPPLY 1, "
591,"SUPPLY 1, U_BASE 2, SUPPLY 1, U_BASE 1, TEMPLE 2, "
505,"U_BASE 1, SUPPLY 1, TEMPLE 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, "
557,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, U_BASE 1, U_BASE 2, SUPPLY 1, U_SPLY 1, SUPPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, "
480,"SUPPLY 1, TEMPLE 1, SUPPLY 1, "
572,"SUPPLY 1, TEMPLE 1, U_BASE 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, U_SPLY 1, U_SPLY 1, SUPPLY 1, U_BASE 2, U_SPLY 1, U_BASE 2, SUPPLY 2, U_SPLY 2, SUPPLY 1, SUPPLY 2, U_SPLY 1, SUPPLY 2, "
476,"SUPPLY 1, U_BASE 2, SUPPLY 1, U_BASE 1, TEMPLE 2, SUPPLY 1, SUPPLY 2, U_BASE 2, SUPPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, "
714,"TEMPLE 1, SUPPLY 1, U_BASE 1, U_BASE 2, SUPPLY 2, U_BASE 2, SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 2, SUPPLY 2, U_SPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, U_SPLY 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, "
523,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, SUPPLY 1, U_SPLY 1, SUPPLY 2, U_BASE 2, U_BASE 2, SUPPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, "
525,"U_BASE 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, U_SPLY 1, U_BASE 2, U_SPLY 1, SUPPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 2, U_BASE 2, "
377,"SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, TEMPLE 2, SUPPLY 2, SUPPLY 2, SUPPLY 1, "
543,"U_BASE 1, SUPPLY 1, TEMPLE 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, U_SPLY 1, SUPPLY 1, U_SPLY 2, "
468,"SUPPLY 1, SUPPLY 1, U_BASE 1, U_BASE 2, SUPPLY 1, TEMPLE 1, SUPPLY 2, U_SPLY 1, U_SPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, U_SPLY 2, U_SPLY 2, SUPPLY 1, U_BASE 2, "
402,"SUPPLY 1, SUPPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, U_SPLY 2, SUPPLY 2, "
688,"U_BASE 2, SUPPLY 2, U_BASE 2, U_BASE 1, SUPPLY 2, SUPPLY 2, TEMPLE 2, "
497,"SUPPLY 1, U_BASE 1, SUPPLY 1, U_BASE 2, U_BASE 2, SUPPLY 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, U_BASE 2, TEMPLE 1, SUPPLY 2, U_SPLY 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, U_SPLY 2, U_SPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, "
700,"SUPPLY 1, U_BASE 1, U_BASE 2, TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, U_SPLY 2, U_SPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, U_SPLY 1, U_SPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, "
568,"TEMPLE 1, SUPPLY 1, U_BASE 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 1, U_SPLY 1, SUPPLY 2, U_SPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, U_BASE 2, "
746,"SUPPLY 1, U_BASE 2, TEMPLE 2, U_BASE 2, U_BASE 1, SUPPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 1, U_SPLY 2, SUPPLY 2, U_SPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 1, SUPPLY 2, "
365,"TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, "
423,"SUPPLY 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, SUPPLY 1, U_SPLY 1, U_BASE 2, U_SPLY 1, U_SPLY 1, U_BASE 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, "
