Number,Character
602,"TEMPLE, SUPPLY, SUPPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, "
553,"SUPPLY, SUPPLY, U_BASE, SUPPLY, TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
556,"SUPPLY, TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_BASE, SUPPLY, U_SPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, "
697,"TEMPLE, SUPPLY, U_SPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, "
640,"TEMPLE, SUPPLY, U_SPLY, U_BASE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
575,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, U_BASE, SUPPLY, "
567,"SUPPLY, TEMPLE, SUPPLY, SUPPLY, U_SPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
974,"U_BASE, SUPPLY, TEMPLE, U_SPLY, SUPPLY, "
,"U_BASE, TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
1412,"TEMPLE, SUPPLY, U_BASE, U_SPLY, "
1824,"SUPPLY, U_BASE, TEMPLE, "
540,"SUPPLY, SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, "
577,"SUPPLY, TEMPLE, SUPPLY, U_SPLY, U_SPLY, U_BASE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
1754,"TEMPLE, SUPPLY, "
673,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
572,"SUPPLY, SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, TEMPLE, "
802,"TEMPLE, SUPPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
924,"SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_BASE, "
727,"SUPPLY, TEMPLE, U_BASE, U_SPLY, SUPPLY, SUPPLY, SUPPLY, "
553,"SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, U_SPLY, "
584,"TEMPLE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, U_SPLY, "
612,"U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, "
742,"U_BASE, SUPPLY, SUPPLY, SUPPLY, "
,"U_BASE, TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
558,"U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, TEMPLE, SUPPLY, U_SPLY, U_SPLY, "
741,"TEMPLE, SUPPLY, SUPPLY, U_BASE, SUPPLY, U_SPLY, U_SPLY, "
628,"TEMPLE, SUPPLY, U_BASE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, "
566,"SUPPLY, SUPPLY, TEMPLE, U_BASE, U_SPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
1020,"TEMPLE, SUPPLY, SUPPLY, "
562,"SUPPLY, SUPPLY, U_BASE, SUPPLY, TEMPLE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
632,"SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, "
621,"TEMPLE, SUPPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
617,"SUPPLY, SUPPLY, U_BASE, TEMPLE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, "
547,"SUPPLY, TEMPLE, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
628,"TEMPLE, SUPPLY, U_SPLY, U_BASE, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, "
609,"TEMPLE, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, U_BASE, SUPPLY, SUPPLY, SUPPLY, "
551,"SUPPLY, SUPPLY, SUPPLY, TEMPLE, SUPPLY, U_SPLY, U_SPLY, U_BASE, SUPPLY, SUPPLY, U_SPLY, "
555,"SUPPLY, U_BASE, SUPPLY, TEMPLE, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, "
